paper_id,title,year,venue,doi,url,type,publisher,seed_query,tag,query_hits,queries
1046,The Atmosphere Attack: Postural Manipulation and the Hidden Threat in Agentic AI,2026,,10.2139/ssrn.6494918,https://doi.org/10.2139/ssrn.6494918,posted-content,Elsevier BV,hidden goals manipulation,robotics,2,deictic hidden target manipulation; hidden goals manipulation
1047,A multi-scale spectroscopic approach unveiling hidden manipulation and restoration treatments in mineralogical specimens,2026,,10.2139/ssrn.6619824,https://doi.org/10.2139/ssrn.6619824,posted-content,Elsevier BV,hidden goals manipulation,robotics,2,deictic hidden target manipulation; hidden goals manipulation
1048,Hidden Costs of Ethical Fashion: Sustainable Development Goals and Garment Worker Exploitation in Bangladesh,2026,Sustainable Development,10.1002/sd.71025,https://doi.org/10.1002/sd.71025,journal-article,Wiley,hidden goals manipulation,robotics,1,hidden goals manipulation
1049,Hidden Costs of Climate Goals: A Life Cycle Perspective on the Net-Zero Path of the Swiss Energy Sector,2026,,10.2139/ssrn.5953177,https://doi.org/10.2139/ssrn.5953177,posted-content,Elsevier BV,hidden goals manipulation,robotics,1,hidden goals manipulation
1050,Hidden Costs of Climate Goals: A Life Cycle Perspective on the Net-Zero Path of the Swiss Energy Sector,2026,,10.2139/ssrn.5861062,https://doi.org/10.2139/ssrn.5861062,posted-content,Elsevier BV,hidden goals manipulation,robotics,1,hidden goals manipulation
1051,The Hidden Mechanism of Chemical Fertilizer Overuse,2026,Sustainable Development Goals Series,10.1007/978-981-95-4352-6_16,https://doi.org/10.1007/978-981-95-4352-6_16,book-chapter,Springer Nature Singapore,hidden goals manipulation,robotics,1,hidden goals manipulation
1052,Cockroach gut microbiota as a hidden biodegradation system for plastic waste management towards UN sustainable development goals,2026,Discover Sustainability,10.1007/s43621-026-02687-y,https://doi.org/10.1007/s43621-026-02687-y,journal-article,Springer Science and Business Media LLC,hidden goals manipulation,robotics,1,hidden goals manipulation
1053,Fostering student voice through artistic amplification: a positive hidden extra curriculum initiative,2026,The Elgar Companion to Management Education and the Sustainable Development Goals,10.4337/9781035337170.00061,https://doi.org/10.4337/9781035337170.00061,book-chapter,Edward Elgar Publishing,hidden goals manipulation,robotics,1,hidden goals manipulation
1054,HiBAR: A Hidden Backdoor Attack on LLM Recommendation Services via Multi-Turn Dialogue Manipulation,2026,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp55912.2026.11462090,https://doi.org/10.1109/icassp55912.2026.11462090,proceedings-article,IEEE,hidden goals manipulation,robotics,1,hidden goals manipulation
1055,Developing Global Environmental Management and Sustainability: The Case of a German Multinational “Hidden Champion” in Brazil,2026,Environmental Footprints and Eco-design of Products and Processes,10.1007/978-3-032-12497-5_5,https://doi.org/10.1007/978-3-032-12497-5_5,book-chapter,Springer Nature Switzerland,hidden goals manipulation,robotics,1,hidden goals manipulation
1056,Physics-guided world models for long horizon electromagnetic dynamics under partial observability,2026,Machine Learning in Photonics II,10.1117/12.3100755,https://doi.org/10.1117/12.3100755,proceedings-article,SPIE,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1057,Multi-scale Semantics Meet SE(3) Geometry: A Sequence-Aware Hierarchical VLA for Long-Horizon Manipulation,2026,,10.2139/ssrn.6636730,https://doi.org/10.2139/ssrn.6636730,posted-content,Elsevier BV,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1058,Commutator-Based Prioritization of Metabolite Measurements under Partial Observability,2026,,10.21203/rs.3.rs-9930280/v1,https://doi.org/10.21203/rs.3.rs-9930280/v1,posted-content,Springer Science and Business Media LLC,long horizon manipulation partial observability,robotics,2,long horizon manipulation partial observability; task and motion planning partial observability manipulation
1059,LatentVLA: Taming Latent Space for Generalizable and Long-Horizon Bimanual Manipulation,2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38926,https://doi.org/10.1609/aaai.v40i22.38926,journal-article,Association for the Advancement of Artificial Intelligence (AAAI),long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1060,LLM-guided Hierarchical Reinforcement Learning with Error Accumulation Avoidance Ability for Long-Horizon Robotic Manipulation Tasks,2026,,10.2139/ssrn.6838201,https://doi.org/10.2139/ssrn.6838201,posted-content,Elsevier BV,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1061,Force-Aware Multimodal Imitation Learning: Transformer-driven CVAE for long-horizon contact-rich manipulation,2026,Biomimetic Intelligence and Robotics,10.1016/j.birob.2026.100336,https://doi.org/10.1016/j.birob.2026.100336,journal-article,Elsevier BV,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1062,GSPA:Geo-Semantic Prior-Guided Attention for Long-Horizon Robot Manipulation,2026,2026 6th International Conference on Sensors and Information Technology (ICSI),10.1109/icsi70302.2026.11544583,https://doi.org/10.1109/icsi70302.2026.11544583,proceedings-article,IEEE,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1063,Motion Planning-Augmented Deep Reinforcement Learning for Long-Horizon Robotic Mobile Manipulation Tasks,2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,10.1145/3793928.3793938,https://doi.org/10.1145/3793928.3793938,proceedings-article,ACM,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1064,Robust long-term prediction of memristive chaotic systems under partial observability via IVYA-ODRC method,2026,International Journal of Modern Physics C,10.1142/s012918312750063x,https://doi.org/10.1142/s012918312750063x,journal-article,World Scientific Pub Co Pte Ltd,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1065,Optimal Planning and Scheduling for Satellite Servicing Under Partial Observability,2026,AIAA SCITECH 2026 Forum,10.2514/6.2026-2634,https://doi.org/10.2514/6.2026-2634,proceedings-article,American Institute of Aeronautics and Astronautics,long horizon manipulation partial observability,robotics,2,long horizon manipulation partial observability; task and motion planning partial observability manipulation
1066,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,10.3390/sym18030394,https://doi.org/10.3390/sym18030394,journal-article,MDPI AG,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1067,"Prosperity Development as a Governance Paradigm: Aligning Capability, Stewardship, and Long-Horizon Outcomes (A Governance Paradigm for Long-Horizon Prosperity)",2026,,10.2139/ssrn.6342701,https://doi.org/10.2139/ssrn.6342701,posted-content,Elsevier BV,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1068,Gentle Manipulation of Long-Horizon Tasks Without Human Demonstrations,2026,IEEE Robotics and Automation Letters,10.1109/lra.2026.3653406,https://doi.org/10.1109/lra.2026.3653406,journal-article,Institute of Electrical and Electronics Engineers (IEEE),long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1069,Dynamic Multi-Channel Scheduling Using Restless Bandits with Partial Observability,2026,2026 National Conference on Communications (NCC),10.1109/ncc68160.2026.11479011,https://doi.org/10.1109/ncc68160.2026.11479011,proceedings-article,IEEE,long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1070,ManiLong-Shot: Interaction-Aware One-Shot Imitation Learning for Long-Horizon Manipulation,2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38881,https://doi.org/10.1609/aaai.v40i22.38881,journal-article,Association for the Advancement of Artificial Intelligence (AAAI),long horizon manipulation partial observability,robotics,1,long horizon manipulation partial observability
1071,Neuro-Symbolic Task Planning for Tabletop Manipulation under Perceptual Uncertainty,2026,,10.2139/ssrn.6555972,https://doi.org/10.2139/ssrn.6555972,posted-content,Elsevier BV,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1072,A Hierarchical Vision-Language and Reinforcement Learning Framework for Robotic Task and Motion Planning in Collaborative Manipulation,2026,IEEE Robotics and Automation Letters,10.1109/lra.2025.3629984,https://doi.org/10.1109/lra.2025.3629984,journal-article,Institute of Electrical and Electronics Engineers (IEEE),task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1073,ADAPT: A Modular Architecture for LLMDriven Robotic Task and Motion Planning with Memory-Guided Execution,2026,,10.2139/ssrn.6098520,https://doi.org/10.2139/ssrn.6098520,posted-content,Elsevier BV,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1074,Condition-based maintenance planning for K-out-of-N systems under partial observability,2026,Reliability Engineering &amp; System Safety,10.1016/j.ress.2025.111943,https://doi.org/10.1016/j.ress.2025.111943,journal-article,Elsevier BV,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1075,CCTD-MARL: Coupled Communication-Task Decoupling Framework for Multi-Agent Systems Under Partial Observability,2026,Big Data and Cognitive Computing,10.3390/bdcc10020052,https://doi.org/10.3390/bdcc10020052,journal-article,MDPI AG,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1076,SPOC: Safety-Aware Planning Under Partial Observability and Physical Constraints,2026,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp55912.2026.11463090,https://doi.org/10.1109/icassp55912.2026.11463090,proceedings-article,IEEE,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1077,Manipulation Goal State Representation Based On The Foresight Diffusion Network,2026,,10.2139/ssrn.5998906,https://doi.org/10.2139/ssrn.5998906,posted-content,Elsevier BV,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1078,Active Robot Vision for Mitigating Worker-Induced Occlusion in Construction Monitoring,2026,,10.2139/ssrn.6461982,https://doi.org/10.2139/ssrn.6461982,posted-content,Elsevier BV,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1079,"Social Robotic Surveillance and Manipulation: How Pervasive Data Collection, Personalisation, and Robotic Influence Could Harm Robot Users and Society",2026,ACM Transactions on Human-Robot Interaction,10.1145/3816438,https://doi.org/10.1145/3816438,journal-article,Association for Computing Machinery (ACM),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1080,Active Robot Vision for Mitigating Worker-Induced Occlusion in Construction Monitoring,2026,,10.2139/ssrn.6021238,https://doi.org/10.2139/ssrn.6021238,posted-content,Elsevier BV,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1081,A Scalable Generative Robotic System for Foresighted 3D Goal State Prediction and Object Manipulation,2026,,10.2139/ssrn.6479481,https://doi.org/10.2139/ssrn.6479481,posted-content,Elsevier BV,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1082,Origami-inspired grasper for safe tissue manipulation,2026,Science Robotics,10.1126/scirobotics.aeh1283,https://doi.org/10.1126/scirobotics.aeh1283,journal-article,American Association for the Advancement of Science (AAAS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1083,Goal Choices and Planning: Distinct Expectancy and Value Effects in Two Goal Processes,2026,SSRN Electronic Journal,10.2139/ssrn.5908802,https://doi.org/10.2139/ssrn.5908802,journal-article,Elsevier BV,disappearing goal planning,robotics,1,disappearing goal planning
1084,The disappearing town planner and layout: “Economic rules for town planning” as a government activity reconsidered,2026,Cities,10.1016/j.cities.2026.106816,https://doi.org/10.1016/j.cities.2026.106816,journal-article,Elsevier BV,disappearing goal planning,robotics,1,disappearing goal planning
1085,THE DISAPPEARING SQUARES: SOCIAL AND ENVIRONMENTAL IMPACTS OF URBAN MOBILITY PLANNING IN DURRËS,2026,INTEC-ICSM 2026 BOOK OF PROCEEDINGS  INTEC International Conference Sustainable Mobility,10.37199/c41001022,https://doi.org/10.37199/c41001022,proceedings-article,Polis Press,disappearing goal planning,robotics,1,disappearing goal planning
1086,Career Planning and Goal Setting,2026,Women in Surgery,10.1007/978-3-032-10971-2_7,https://doi.org/10.1007/978-3-032-10971-2_7,book-chapter,Springer Nature Switzerland,disappearing goal planning,robotics,1,disappearing goal planning
1087,In-hand object manipulation with various hand orientations for underactuated hands,2026,2026 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),10.1109/icarsc70216.2026.11523292,https://doi.org/10.1109/icarsc70216.2026.11523292,proceedings-article,IEEE,object permanence robot manipulation,robotics,1,object permanence robot manipulation
1088,Vision-based manipulation from single human video with open-world object graphs,2026,Autonomous Robots,10.1007/s10514-026-10253-8,https://doi.org/10.1007/s10514-026-10253-8,journal-article,Springer Science and Business Media LLC,object permanence robot manipulation,robotics,1,object permanence robot manipulation
1089,Cross-Behavior Learning with Object Flow Prediction for Robotic Manipulation,2026,IEEE Transactions on Robotics,10.1109/tro.2026.3701576,https://doi.org/10.1109/tro.2026.3701576,journal-article,Institute of Electrical and Electronics Engineers (IEEE),object permanence robot manipulation,robotics,1,object permanence robot manipulation
1090,Gut-Brain Axis Manipulation As A Therapeutic Target For Mental Disorders,2026,,10.2139/ssrn.6098046,https://doi.org/10.2139/ssrn.6098046,posted-content,Elsevier BV,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1091,Essential oils – promising active ingredients of botanical insecticides or hidden risks for non-target organisms?,2026,Entomologia Generalis,10.1127/entomologia/4462,https://doi.org/10.1127/entomologia/4462,journal-article,Schweizerbart,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1092,Revealing Hidden Interrelationships of PFAS-Pesticides-Microplastics in Urban Waters: Integrating Target and Non-Target Chemical Analyses Across Mexico,2026,,10.5194/egusphere-egu26-20301,https://doi.org/10.5194/egusphere-egu26-20301,posted-content,Copernicus GmbH,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1093,Deictic Expressions in Legal Discourse (Based on German Language Material),2026,,10.2139/ssrn.6149268,https://doi.org/10.2139/ssrn.6149268,posted-content,Elsevier BV,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1094,The Role of Illocutive Performatives and Deictic Pronouns in The Speech Act of Wishes and Congratulations,2026,International Journal Of Literature And Languages,10.37547/ijll/volume06issue03-02,https://doi.org/10.37547/ijll/volume06issue03-02,journal-article,The USA Journals,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1095,The Hidden Threat of Pharmaceuticals: Ketoprofen Degradation and Toxicity to Non-Target Organisms,2026,Molecules,10.3390/molecules31060949,https://doi.org/10.3390/molecules31060949,journal-article,MDPI AG,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
1096,Experimental manipulation of vocational interests: Influence on self-efficacy and choice goals,,,10.31274/etd-180810-2947,https://doi.org/10.31274/etd-180810-2947,dissertation,Iowa State University,hidden goals manipulation,robotics,1,hidden goals manipulation
1097,Specifying consistent control goals for kinematically defective manipulation systems,,Proceedings of IEEE International Conference on Robotics and Automation,10.1109/robot.1996.509251,https://doi.org/10.1109/robot.1996.509251,proceedings-article,IEEE,hidden goals manipulation,robotics,1,hidden goals manipulation
1098,Modeling manipulation interactions by hidden Markov models,,IEEE/RSJ International Conference on Intelligent Robots and System,10.1109/irds.2002.1043877,https://doi.org/10.1109/irds.2002.1043877,proceedings-article,IEEE,hidden goals manipulation,robotics,2,deictic hidden target manipulation; hidden goals manipulation
1099,A control architecture to achieve manipulation task goals for a humanoid robot,,Proceedings. 1998 IEEE International Conference on Robotics and Automation (Cat. No.98CH36146),10.1109/robot.1998.676374,https://doi.org/10.1109/robot.1998.676374,proceedings-article,IEEE,hidden goals manipulation,robotics,1,hidden goals manipulation
1100,Hidden Assets,,Hidden Assets,10.1007/1-4020-8082-4_2,https://doi.org/10.1007/1-4020-8082-4_2,book-chapter,Kluwer Academic Publishers,hidden goals manipulation,robotics,1,hidden goals manipulation
1101,Hidden and the Hidden,,Encyclopaedia of the Qurʾān,10.1163/1875-3922_q3_eqsim_00190,https://doi.org/10.1163/1875-3922_q3_eqsim_00190,dataset,Walter de Gruyter GmbH,hidden goals manipulation,robotics,1,hidden goals manipulation
1102,Hidden and the Hidden,,Encyclopaedia of the Qurʾān,10.1163/_q3_sim_00190,https://doi.org/10.1163/_q3_sim_00190,dataset,Walter de Gruyter GmbH,hidden goals manipulation,robotics,1,hidden goals manipulation
1103,Hidden and the Hidden,,Encyclopaedia of the Qurʾān,10.1163/1875-3922_q3_sim_00190,https://doi.org/10.1163/1875-3922_q3_sim_00190,dataset,Walter de Gruyter GmbH,hidden goals manipulation,robotics,1,hidden goals manipulation
1104,Manipulation of hidden units activities for fault tolerant multi-layer neural networks,,Proceedings 2003 IEEE International Symposium on Computational Intelligence in Robotics and Automation. Computational Intelligence in Robotics and Automation for the New Millennium (Cat. No.03EX694),10.1109/cira.2003.1222056,https://doi.org/10.1109/cira.2003.1222056,proceedings-article,IEEE,hidden goals manipulation,robotics,1,hidden goals manipulation
1105,Goals for small-sided football,,,10.3403/02057291,https://doi.org/10.3403/02057291,standard,BSI British Standards,hidden goals manipulation,robotics,1,hidden goals manipulation
1106,Goals for small-sided football,,,10.3403/02057291u,https://doi.org/10.3403/02057291u,standard,BSI British Standards,hidden goals manipulation,robotics,1,hidden goals manipulation
